username,date,rating,content
Fitria Nurrahmadhani,2025-06-15T21:59:41,4,"Bagus, menyenangkan👍"
Brian Akbar,2025-06-15T21:56:28,1,ga jelas ngebug aplikasi kocak
Fransiskus Richie,2025-06-15T21:54:38,5,wonderful app!
Sulastri Bwi,2025-06-15T21:53:08,4,baik lah enak tpi kenapa ya kok ada yang ngasih pesan ada tulisan gunakan aplikasi terbaru untuk melihat pesan ini padahal udah bolak balik ganti masih tetep aja gk kenak 😩😩
jesika Novelina,2025-06-15T21:46:30,1,"kenapa si ig skrg burem"" gitu diarsip nya padahal mau dijadiin sorotan kok gini ya ig skrg 😔"
Muhammad Saefudin,2025-06-15T21:46:20,5,jos pokoke
Muhammed risqy Aditya,2025-06-15T21:42:36,5,aplikasi ini sangat asik
Bojepkekekekekek A,2025-06-15T21:42:26,1,mohon maaf di Instagram saya kok ga ada draft yah?
Ilham Rodrigo,2025-06-15T21:40:24,1,apasih bermasalah Mulu aplikasi nya ganti nama gabisa eror ganti akun kreator jadi akun pribadi gabisa eror menunya plis lah perbaiki saya sangat terganggu
aisyah nur salsabila,2025-06-15T21:36:07,2,"bagus, tpi ga bisa di update"
Yulia Fitri,2025-06-15T21:35:54,5,Bagus untuk berbagi foto foto indah dari setiap aktivitas seru
Arul,2025-06-15T21:34:54,1,"tolong lahhh di perbaiki lagi ini.kok tiba""ngelag pdhl jaringan bagus bagus aja!!! jengkel woyyyy aissss😓"
Jeryy Codhet,2025-06-15T21:34:00,5,sangat Bagus dan bermanfaat sekali
Rizky Fajar,2025-06-15T21:32:27,5,bagus
Fajar Ramadhan,2025-06-15T21:31:39,5,mantap ig
Rieyan Ghanesha,2025-06-15T21:28:05,5,Good job 👍
Zeall Bae,2025-06-15T21:27:06,3,bagus
Muhammad Deva Septama,2025-06-15T21:25:14,1,Terlalu bannyak iklan judi online slot dan iklan-iklan yang tidak mendidik.
Muhammad Syafiul ulum,2025-06-15T21:24:05,5,ok
Annisatul “Icha” Muthoharoh,2025-06-15T21:24:04,5,"Sukaaaaa sih sejauh ini. Bagus, tapi kenapa ya feed akun ku gak bisa lebih dari 10 slide. Tolong kasih tahu caranya gimana."
Annisa Berlian,2025-06-15T21:21:30,1,"kaloo ngirimm fotooo ngeblur muluu, minimal kasii fitur hd atuuhh"
19_Hijraeni_ Pfis_UHO,2025-06-15T21:21:29,5,semakin meningkat
Nurul Hasanah,2025-06-15T21:20:33,5,bgus
Febrian Ya,2025-06-15T21:20:32,1,"tolong lah admin, knp makin banyak situs judi online, sudah di lapor, tambah makin banyak, tolong hapus konten"" judi online biyar GK banyak makan korban karena judi online,🙏 jika berkurang situs judi online di Ig, ku kasi bintang 5"
fauzia kharisma,2025-06-15T21:18:05,5,keren
Hehe13 Pp31,2025-06-15T21:16:50,1,"setiap ngirim foto, gambar selalu buram"
Fatir Suryana,2025-06-15T21:15:55,5,👍
rohaedi 17,2025-06-15T21:15:46,3,bagus cuma gbisa di update
stefanus setiawan,2025-06-15T21:14:55,5,"Sekarang jadi lemoot banget,padahal wifi ku lancar"
Adrhy Adrhy10,2025-06-15T21:13:53,1,evek jj nya hilang
Robin Eriyanto,2025-06-15T21:12:29,5,good
Shaduwelcome Show,2025-06-15T21:10:55,1,yg bner kah setiap keluar akun mau masuk suka gk bisa ini harus bikin penguna nyaman malah di bikin gk nyaman kan anying lah
KANCIL UKLIK,2025-06-15T21:09:02,5,siap
Abd karim Amirullah,2025-06-15T21:06:19,5,aplikasi ini bagus
chandra nanang,2025-06-15T21:02:10,5,ok
